 choose the 'Naming Series' option.,chọn tùy chọn &#39;Đặt tên cho chuỗi&#39;.,
 days.,ngày.,
 from {0},từ {0},
 Here are the options to proceed:,Dưới đây là các tùy chọn để tiếp tục:,
" If you still want to proceed, please enable {0}.","Nếu bạn vẫn muốn tiếp tục, hãy bật {0}.",
 Online PassKey,PassKey trực tuyến,
 out of ,ra khỏi,
 out of {0},trong số {0},
 performing either one below:,thực hiện một trong hai bên dưới:,
 Purchase Value,Giá trị mua hàng,
 Quoted Amount,Số tiền báo giá,
 Sales Value,Doanh số,
 Shipping Bill Number,Số hóa đơn vận chuyển,
 to {0},đến {0},
 to know more,để biết thêm chi tiết,
 to know more about them.,để biết thêm về chúng.,
 Total Sales Amount,Tổng số tiền bán hàng,
...Adding Article to Topics,... Thêm bài viết vào chủ đề,
...Adding Course to Programs,... Thêm khóa học vào chương trình,
...Adding Quiz to Topics,... Thêm câu đố vào chủ đề,
...Adding Topic to Courses,... Thêm chủ đề vào khóa học,
'Based On' and 'Group By' can not be same,'Dựa Trên' và 'Nhóm Bởi' không thể giống nhau,
'Date' is required,&#39;Ngày&#39; là bắt buộc,
'Days Since Last Order' must be greater than or equal to zero,"""Số ngày từ lần đặt hàng gần nhất"" phải lớn hơn hoặc bằng 0",
'employee_field_value' and 'timestamp' are required.,&#39;worker_field_value&#39; và &#39;dấu thời gian&#39; là bắt buộc.,
'Entries' cannot be empty,"""Bút toán"" không thể để trống",
'From Date' is required,"""Từ ngày"" là bắt buộc",
'From Date' must be after 'To Date','Từ Ngày' phải sau 'Đến Ngày',
'Has Serial No' can not be 'Yes' for non-stock item,'Có chuỗi số' không thể là 'Có' cho vật liệu không lưu kho,
'Opening','Đang mở',
'To Case No.' cannot be less than 'From Case No.','Đến trường hợp số' không thể ít hơn 'Từ trường hợp số',
'To Date' is required,"""Tới ngày"" là bắt buột",
'Total','Tổng',
'Update Stock' can not be checked because items are not delivered via {0},"""Cập nhật hàng hóa"" không thể được kiểm tra  vì  vật tư không được vận chuyển với {0}",
'Update Stock' cannot be checked for fixed asset sale,'Cập Nhật kho hàng' không thể được kiểm tra  việc buôn bán tài sản cố định,
"""Customer Provided Item"" cannot be Purchase Item also",&quot;Mục khách hàng cung cấp&quot; cũng không thể là mục Mua hàng,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Mục khách hàng cung cấp&quot; không thể có Tỷ lệ định giá,
"""From date"" can not be greater than or equal to ""To date""",&quot;Từ ngày&quot; không được lớn hơn hoặc bằng &quot;Đến ngày&quot;,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Là Tài Sản Cố Định"" không thể bỏ đánh dấu, vì bản ghi Tài Sản tồn tại đối nghịch với vật liệu",
(Ca+Mg)/K,(Ca + Mg) / K,
(Forecast),(Dự báo),
(Half Day),(Nửa ngày),
(Hour Rate / 60) * Actual Operation Time,(Tỷ lệ giờ / 60) * Thời gian hoạt động thực tế,
(including),(kể cả),
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(Số Sê-ri: {0}) không thể được sử dụng vì nó được dự trữ để lấp đầy Đơn đặt hàng Bán hàng {1}.,
) for {0},) cho {0},
[{0}](#Form/Item/{0}) is out of stock,[{0}](#Form/Item/{0}) không còn hàng,
[Error],[Lỗi],
[Important] [ERPNext] Auto Reorder Errors,[Quan trọng] [ERPNext] Lỗi tự động sắp xếp lại,
{} Assets created for {},{} Nội dung được tạo cho {},
{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {},"Không thể hủy {} vì Điểm trung thành kiếm được đã được đổi. Trước tiên, hãy hủy thông báo {} Không {}",
{} has submitted assets linked to it. You need to cancel the assets to create purchase return.,{} đã gửi nội dung được liên kết với nó. Bạn cần hủy nội dung để tạo lợi nhuận mua hàng.,
{} is an invalid Attendance Status.,{} là Trạng thái tham dự không hợp lệ.,
{} is required to generate E-Way Bill JSON,{} là bắt buộc để tạo JSON JSON e-Way,
{} of {},{} trong số {},
{0} - {1} is inactive student,{0} - {1} là sinh viên không hoạt động,
{0} - {1} is not enrolled in the Batch {2},{0} - {1} không được ghi danh trong Batch {2},
{0} - {1} is not enrolled in the Course {2},{0} - {1} không được ghi danh vào Khóa học {2},
{0} '{1}' is disabled,{0} '{1}' bị vô hiệu hóa,
{0} '{1}' not in Fiscal Year {2},{0} '{1}' không thuộc năm tài chính {2},
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) không được lớn hơn số lượng đã lên kế hoạch ({2}) trong Yêu cầu công tác {3},
{0} {1} created,{0} {1} đã được tạo,
{0} {1} does not exist,{0} {1} không tồn tại,
{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.,{0} {1} có các bút toán kế toán theo đơn vị tiền tệ {2} cho công ty {3}. Vui lòng chọn tài khoản phải thu hoặc phải trả có đơn vị tiền tệ {2}.,
{0} {1} has been added to all the selected topics successfully.,{0} {1} đã được thêm vào tất cả các chủ đề đã chọn thành công.,
{0} {1} has been modified. Please refresh.,{0} {1} đã được sửa đổi. Xin vui lòng làm mới.,
{0} {1} has not been submitted so the action cannot be completed,{0} {1} chưa có nên thao tác sẽ không thể hoàn thành,
{0} {1} is {2},{0} {1} là {2},
"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} được liên kết với {2}, nhưng Tài khoản của Đảng là {3}",
{0} {1} is cancelled or closed,{0} {1} đã huỷ bỏ hoặc đã đóng,
{0} {1} is cancelled or stopped,{0} {1} đã huỷ bỏ hoặc đã dừng,
{0} {1} is cancelled so the action cannot be completed,{0} {1} đã được hủy nên thao tác không thể hoàn thành,
{0} {1} is closed,{0} {1} đã đóng,
{0} {1} is disabled,{0} {1} bị vô hiệu,
{0} {1} is frozen,{0}{1} bị đóng băng,
{0} {1} is fully billed,{0} {1} đã được lập hóa đơn đầy đủ,
{0} {1} is not active,{0} {1} không hoạt động,
{0} {1} is not associated with {2} {3},{0} {1} không liên kết với {2} {3},
{0} {1} is not present in the parent company,{0} {1} không có mặt trong công ty mẹ,
{0} {1} is not submitted,{0} {1} chưa được đệ trình,
{0} {1} must be submitted,{0} {1} phải được đệ trình,
{0} {1} not in any active Fiscal Year.,{0} {1} không trong bất kỳ năm tài chính có hiệu lực nào.,
{0} {1} status is {2},{0} {1}trạng thái là {2},
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: Loại tài khoản 'Lãi và Lỗ' {2} không được chấp nhận trong Bút Toán Khởi Đầu,
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: Tài khoản {2} không thuộc về Công ty {3},
{0} {1}: Account {2} is inactive,{0} {1}: Tài khoản {2} không hoạt động,
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Bút Toán Kế toán cho {2} chỉ có thể được tạo ra với tiền tệ: {3},
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: Trung tâm chi phí {2} không thuộc về Công ty {3},
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}:Trung tâm chi phí là bắt buộc đối với vật liệu {2},
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: Trung tâm Chi phí là yêu cầu bắt buộc đối với tài khoản 'Lãi và Lỗ' {2}. Vui lòng thiết lập một Trung tâm Chi phí mặc định cho Công ty.,
{0} {1}: Customer is required against Receivable account {2},{0} {1}: Khách hàng được yêu cầu  với tài khoản phải thu {2},
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Cả khoản nợ lẫn số tín dụng đều là yêu cầu bắt buộc với {2},
{0} {1}: Supplier is required against Payable account {2},{0} {1}: Nhà cung cấp được yêu cầu đối với Khoản phải trả {2},
{0} against Bill {1} dated {2},{0} gắn với phiếu t.toán {1} ngày {2},
{0} against Purchase Order {1},{0} gắn với đơn mua hàng {1},
{0} against Sales Invoice {1},{0} gắn với Hóa đơn bán hàng {1},
{0} against Sales Order {1},{0} gắn với Đơn đặt hàng {1},
{0} already allocated for Employee {1} for period {2} to {3},{0} đã được phân phối cho nhân viên {1} cho kỳ {2} đến {3},
{0} already exists for employee {1} and period {2},{0} đã tồn tại cho nhân viên {1} và khoảng thời gian {2},
{0} already has a Parent Procedure {1}.,{0} đã có Quy trình dành cho phụ huynh {1}.,
{0} and {1} are mandatory,{0} và {1} là bắt buộc,
{0} applicable after {1} working days,{0} áp dụng sau {1} ngày làm việc,
{0} as on {1},{0} như trên {1},
{0} asset cannot be transferred,{0} tài sản không thể chuyển giao,
{0} bank transaction(s) created,{0} giao dịch ngân hàng đã được tạo,
{0} bank transaction(s) created and {1} errors,{0} giao dịch ngân hàng được tạo và {1} lỗi,
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Ngân sách cho tài khoản {1} đối với {2} {3} là {4}. Nó sẽ vượt qua {5},
{0} can not be greater than {1},{0} không thể lớn hơn {1},
{0} can not be negative,{0} không được âm,
{0} conversations,{0} cuộc hội thoại,
{0} Coupon used are {1}. Allowed quantity is exhausted,{0} Phiếu giảm giá được sử dụng là {1}. Số lượng cho phép đã cạn kiệt,
{0} created,{0} được tạo ra,
{0} Created,{0} được tạo ra,
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0} hiện đang có {1} Bảng xếp hạng của Nhà cung cấp và Đơn hàng mua cho nhà cung cấp này nên được cấp một cách thận trọng.,
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} hiện đang có {1} Bảng xếp hạng của Nhà cung cấp và các yêu cầu RFQ cho nhà cung cấp này phải được ban hành thận trọng.,
